,POSITION,LOC_X,LOC_Y,PLAYER_NAME,QUARTER,EVENT_TYPE
5475,PG,799.0,246.0,Rajon Rondo,1,MISSED
5476,PG,887.0,262.0,Rajon Rondo,1,BLOCKED
5480,SG,642.0,315.0,Jimmy Butler,1,MISSED
5483,PG,873.0,9.0,Rajon Rondo,2,SCORED
5492,SG,675.0,79.0,Jimmy Butler,2,SCORED
5493,SG,794.0,140.0,Jimmy Butler,2,MISSED
5495,C,886.0,251.0,Robin Lopez,2,SCORED
5496,SG,733.0,166.0,Jimmy Butler,2,MISSED
5500,SG,837.0,179.0,Jimmy Butler,2,MISSED
5501,SG,755.0,23.0,Jimmy Butler,2,SCORED
5504,C,202.0,156.0,Robin Lopez,3,SCORED
5505,C,97.0,248.0,Robin Lopez,3,SCORED
5506,C,254.0,296.0,Robin Lopez,3,MISSED
5507,SG,171.0,408.0,Jimmy Butler,3,MISSED
5508,SG,231.0,74.0,Jimmy Butler,3,MISSED
5510,SG,52.0,250.0,Jimmy Butler,3,SCORED
5511,SG,82.0,367.0,Jimmy Butler,3,MISSED
5512,C,62.0,254.0,Robin Lopez,3,MISSED
5513,SG,102.0,491.0,Jimmy Butler,3,SCORED
5514,SG,98.0,491.0,Jimmy Butler,3,MISSED
5515,PG,92.0,295.0,Rajon Rondo,3,SCORED
5516,C,62.0,252.0,Robin Lopez,3,SCORED
5517,SG,67.0,265.0,Jimmy Butler,3,SCORED
5523,PG,141.0,493.0,Rajon Rondo,4,MISSED
5526,PG,54.0,20.0,Rajon Rondo,4,SCORED
5528,SG,202.0,326.0,Jimmy Butler,4,MISSED
5529,SG,62.0,252.0,Jimmy Butler,4,MISSED
5531,PG,69.0,259.0,Rajon Rondo,4,MISSED
5533,SG,151.0,346.0,Jimmy Butler,4,MISSED
5535,SG,211.0,442.0,Jimmy Butler,4,MISSED
5540,SG,265.0,380.0,Jimmy Butler,4,MISSED
5541,C,72.0,249.0,Robin Lopez,4,MISSED
5542,SG,72.0,431.0,Jimmy Butler,1,MISSED
5543,SG,290.0,154.0,Dwyane Wade,1,SCORED
5545,C,67.0,318.0,Robin Lopez,1,SCORED
5546,SG,52.0,250.0,Dwyane Wade,1,SCORED
5548,SG,58.0,260.0,Jimmy Butler,1,SCORED
5550,SG,102.0,71.0,Dwyane Wade,1,SCORED
5551,SG,62.0,236.0,Dwyane Wade,1,SCORED
5552,SG,190.0,190.0,Dwyane Wade,1,SCORED
5554,C,171.0,259.0,Robin Lopez,1,SCORED
5556,C,116.0,306.0,Robin Lopez,1,MISSED
5558,SG,59.0,267.0,Jimmy Butler,1,MISSED
5560,SG,62.0,265.0,Jimmy Butler,1,SCORED
5564,SG,72.0,251.0,Jimmy Butler,1,SCORED
5569,SG,172.0,298.0,Dwyane Wade,2,SCORED
5571,PG,36.0,20.0,Rajon Rondo,2,MISSED
5573,SG,45.0,12.0,Dwyane Wade,2,MISSED
5574,SG,72.0,257.0,Dwyane Wade,2,SCORED
5575,SG,53.0,259.0,Dwyane Wade,2,SCORED
5576,SG,131.0,213.0,Dwyane Wade,2,MISSED
5577,SG,62.0,262.0,Dwyane Wade,2,MISSED
5578,SG,67.0,257.0,Dwyane Wade,2,MISSED
5580,C,75.0,247.0,Robin Lopez,2,MISSED
5581,C,200.0,125.0,Robin Lopez,2,MISSED
5583,SG,283.0,172.0,Jimmy Butler,2,MISSED
5584,SG,67.0,267.0,Dwyane Wade,2,MISSED
5585,SG,64.0,254.0,Jimmy Butler,2,SCORED
5587,SG,87.0,233.0,Dwyane Wade,2,SCORED
5589,SG,279.0,332.0,Dwyane Wade,2,MISSED
5590,C,97.0,274.0,Robin Lopez,2,MISSED
5591,SG,295.0,254.0,Dwyane Wade,2,MISSED
5592,SG,32.0,17.0,Dwyane Wade,2,MISSED
5595,SG,765.0,77.0,Jimmy Butler,3,SCORED
5601,SG,725.0,454.0,Dwyane Wade,3,MISSED
5602,SG,882.0,252.0,Jimmy Butler,3,MISSED
5604,SG,881.0,236.0,Jimmy Butler,3,SCORED
5609,PG,630.0,252.0,Rajon Rondo,3,SCORED
5611,SG,652.0,153.0,Jimmy Butler,3,MISSED
5612,PG,871.0,262.0,Rajon Rondo,3,SCORED
5613,SG,720.0,113.0,Jimmy Butler,3,MISSED
5617,PG,675.0,372.0,Rajon Rondo,4,SCORED
5623,PG,828.0,473.0,Rajon Rondo,4,BLOCKED
5640,SG,804.0,135.0,Dwyane Wade,1,MISSED
5643,SG,873.0,230.0,Jimmy Butler,1,MISSED
5646,SG,887.0,226.0,Jimmy Butler,1,MISSED
5647,SG,676.0,397.0,Dwyane Wade,1,MISSED
5649,SG,853.0,225.0,Jimmy Butler,1,BLOCKED
5651,SG,843.0,254.0,Dwyane Wade,1,MISSED
5652,SG,755.0,84.0,Dwyane Wade,1,SCORED
